Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
581100,Murphy's Bleachers,Murphy's Bleachers,1171723,Restaurant,Risk 1 (High),3653-3655 N SHEFFIELD AVE,CHICAGO
381233,POTASH BROS INC,POTASH BROS,19826,Grocery Store,Risk 1 (High),875 N STATE ST,CHICAGO
491811,DESERT ROSE FOODS,DESERT ROSE FOODS,2064579,Mobile Food Dispenser,Risk 3 (Low),11150 S HARLEM AVE,WORTH
490837,EL TACONAZO RESTAURANT,EL TACONAZO RESTAURANT,1964481,Restaurant,Risk 1 (High),2350 W CERMAK RD,CHICAGO
579600,"BURRITO GRANDE PEREZ, INC.","BURRITO GRANDE PEREZ, INC.",1974126,Restaurant,Risk 1 (High),5108 S ARCHER AVE,CHICAGO
606288,EZZARD CHARLES NURSERY,EZZARD CHARLES NURSERY,36082,Daycare (Under 2 Years),Risk 1 (High),7949 S ASHLAND AVE,CHICAGO
88760,Sandy's Restaurant,Sandy's Restaurant,1477297,Restaurant,Risk 1 (High),7021 W HIGGINS AVE,CHICAGO
585448,CHARLEY THAI PLACE INC,CHARLEY THAI PLACE INC,1228026,Restaurant,Risk 1 (High),3209 W ARMITAGE AVE,CHICAGO
585298,BUCKTOWN DYSFUNCTIONAL PUB,BUCKTOWN DYSFUNCTIONAL PUB,2079191,Restaurant,Risk 2 (Medium),1658 W CORTLAND ST,CHICAGO
567338,POLO CAFE AND CATERING BRIDGEPORT U.S.A.,POLO CAFE AND CATERING BRIDGEPORT U.S.A.,32540,Restaurant,Risk 1 (High),3322 S MORGAN ST,CHICAGO
491608,BW 3,BW 3,1444740,Restaurant,Risk 1 (High),2464-2468 N LINCOLN AVE,CHICAGO
484256,PETE'S PRODUCE,PETE'S PRODUCE,1476553,Grocery Store,Risk 2 (Medium),1543 E 87TH ST,CHICAGO
612275,PIZZA DELI,ROSATI'S PIZZA,2099136,Restaurant,Risk 1 (High),126 W GRAND AVE,CHICAGO
557308,STEVE'S PIZZA,STEVE'S PIZZA,1619560,Restaurant,Risk 1 (High),7242 W TOUHY AVE,CHICAGO
579476,Taqueria El Primo Inc.,Taqueria El Primo,2079945,Restaurant,Risk 1 (High),3500 W MONTROSE AVE,CHICAGO
606285,"HIGHLAND DAY CARE, INC","HIGHLAND DAY CARE, INC",15799,Daycare (2 - 6 Years),Risk 1 (High),7634 S ASHLAND AVE,CHICAGO
517365,CENTER FACTORY ALTERNATIVE SCHOOL,NA,2225297,School,Risk 1 (High),2032 N CLYBOURN,CHICAGO
381369,MOE'S CANTINA,MOE'S CANTINA,2009382,Restaurant,Risk 1 (High),153-155 W KINZIE ST,CHICAGO
491207,CARBON ON CHICAGO,CARBON ON CHICAGO,2068654,Restaurant,Risk 1 (High),810 N MARSHFIELD AVE,CHICAGO
353324,WEST RIDGE ELEMENTARY,WEST RIDGE ELEMENTARY,2066699,School,Risk 1 (High),6700 N WHIPPLE,CHICAGO
580218,Bronzeville Lighthouse,Bronzeville Lighthouse,66421,School,Risk 1 (High),8 W Root Ave. (4134S),CHICAGO
549346,CHRISS BAKERY INC,CHRIS'S BAKERY,32188,Bakery,Risk 2 (Medium),3000 W 41ST ST,CHICAGO
579222,"PANADERIA GUATEMALTECA, INC.",PANADERIA GUATEMALTECA,1985216,Bakery,Risk 1 (High),4363 N MILWAUKEE AVE,CHICAGO
491131,ANGELICA'S BAKERY,ANGELICA'S BAKERY,1768685,Bakery,Risk 2 (Medium),1517 E 87TH ST,CHICAGO
557227,Baraka Convenience Market Inc,Baraka Convenience,2079695,Grocery Store,Risk 2 (Medium),6323 W BELMONT AVE,CHICAGO
491157,"KIDS IMAGINATIONS, INC.","KIDS IMAGINATIONS, INC.",1330715,Children's Services Facility,Risk 1 (High),5334 S ARCHER AVE,CHICAGO
565303,Subway,Subway,1963767,Restaurant,Risk 1 (High),1236 S CANAL ST,CHICAGO
521343,SUBWAY RESTAURANT 1,SUBWAY RESTAURANT 1,1820446,NA,Risk 3 (Low),3348 W LAWRENCE AVE,CHICAGO
533212,TONY'S ITALIAN BEEF,TONY'S ITALIAN BEEF,3847,Restaurant,Risk 1 (High),7007 S PULASKI RD,CHICAGO
